host_name,alias,ip_address,hostgroup
OKOTA_2_IREAKARI,FB_OKOTA_2_IREAKARI,10.24.0.33,FirstBank
OJO_CANTONMENT_CYB020,FB_OJO_CANTONMENT_CYB020,10.24.0.44,FirstBank
OJO_CANTONMENT_CLIENT_,FB_OJO_CANTONMENT_CLIENT_,10.24.0.45,FirstBank
APAPA_CREEK_RD,FB_APAPA_CREEK_RD,10.24.0.49,FirstBank
FESTAC_2_CYB024,FB_FESTAC_2_CYB024,10.24.0.59,FirstBank
FESTAC_2_CLIENT,FB_FESTAC_2_CLIENT,10.24.0.60,FirstBank
FBN_MD_HSE_DATA,FB_FBN_MD_HSE_DATA,10.24.0.122,FirstBank
QSP_MAFOLUKU,FB_QSP_MAFOLUKU,10.24.2.73,FirstBank
QSP_IPONRI_,FB_QSP_IPONRI_,10.24.2.81,FirstBank
ANTHONY_,FB_ANTHONY_,10.25.1.17,FirstBank
TRADE_FAIR_ASPANDA_,FB_TRADE_FAIR_ASPANDA_,10.25.2.233,FirstBank
ALABA_MAIN_1_CYB079,FB_ALABA_MAIN_1_CYB079,10.25.4.51,FirstBank
ALABA_MAIN_1_CLIENT,FB_ALABA_MAIN_1_CLIENT,10.25.4.52,FirstBank
KETU_KOSOFE_CLIENT,FB_KETU_KOSOFE_CLIENT,10.28.0.203,FirstBank
KETU_KOSOFE_BTS,FB_KETU_KOSOFE_BTS,10.28.0.204,FirstBank
OREGUN_ARCHIVE_,FB_OREGUN_ARCHIVE_,10.28.0.209,FirstBank
MATORI_,FB_MATORI_,10.32.0.41,FirstBank
LASPOTECH_ISOLO_,FB_LASPOTECH_ISOLO_,10.32.0.89,FirstBank
IYANA_EJIGBO_,FB_IYANA_EJIGBO_,10.32.0.105,FirstBank
VGC_IKOTA,FB_VGC_IKOTA,10.35.0.201,FirstBank
BALOGUN_BBA_,FB_BALOGUN_BBA_,10.36.0.169,FirstBank
ISAAC_JOHN_,FB_ISAAC_JOHN_,10.38.0.209,FirstBank
NAVY_TOWN_BTS,FB_NAVY_TOWN_BTS,10.38.1.59,FirstBank
NAVY_TOWN_CLIENT,FB_NAVY_TOWN_CLIENT,10.38.1.60,FirstBank
AJAH_CASH,FB_AJAH_CASH,10.40.2.209,FirstBank
OGUDU_OJOTA,FB_OGUDU_OJOTA,10.41.2.41,FirstBank
APAPA_TINCAN_LONGROOM,FB_APAPA_TINCAN_LONGROOM,10.41.2.49,FirstBank
SURULERE_SHOPPING_CYB065,FB_SURULERE_SHOPPING_CYB065,10.41.2.58,FirstBank
SURULERE_SHOPPING_CLIENT,FB_SURULERE_SHOPPING_CLIENT,10.41.2.59,FirstBank
FBN_OBETA_BTS,FB_FBN_OBETA_BTS,10.41.3.234,FirstBank
FBN_OBETA_CLIENT,FB_FBN_OBETA_CLIENT,10.41.3.235,FirstBank
ABUJA_ARCHIVE_,FB_ABUJA_ARCHIVE_,10.42.0.97,FirstBank
BADORE_OANDO,FB_BADORE_OANDO,10.42.3.33,FirstBank
OSHODI_Mile_2_BTS,FB_OSHODI_Mile_2_BTS,10.42.4.3,FirstBank
OSHODI_Mile_2_CLIENT,FB_OSHODI_Mile_2_CLIENT,10.42.4.4,FirstBank
MAITAMA_BTS,FB_MAITAMA_BTS,10.42.5.18,FirstBank
MAITAMA_CLIENT,FB_MAITAMA_CLIENT,10.42.5.19,FirstBank
FBN_DMD_EBONG_BTS,FB_FBN_DMD_EBONG_BTS,10.42.8.74,FirstBank
FBN_DMD_INI_EBONG_CLIENT,FB_FBN_DMD_INI_EBONG_CLIENT,10.42.8.75,FirstBank
OKOTA_1_BTS,FB_OKOTA_1_BTS,10.43.4.43,FirstBank
OKOTA_1_CLIENT,FB_OKOTA_1_CLIENT,10.43.4.44,FirstBank
FBN_CIO_ADESHINA_BTS,FB_FBN_CIO_ADESHINA_BTS,10.53.0.58,FirstBank
FBN_CIO_ADESHINA_CLIENT,FB_FBN_CIO_ADESHINA_CLIENT,10.53.0.59,FirstBank
FBN_EBONG_BTS,FB_FBN_EBONG_BTS,10.53.0.74,FirstBank
FBN_EBONG_CLIENT,FB_FBN_EBONG_CLIENT,10.53.0.75,FirstBank
OTTA_2_BTS,FB_OTTA_2_BTS,10.72.2.162,FirstBank
OTTA_2_CLIENT,FB_OTTA_2_CLIENT,10.72.2.163,FirstBank
ABULEGBA_BTS,FB_ABULEGBA_BTS,10.72.2.195,FirstBank
ABULEGBA_CLIENT_,FB_ABULEGBA_CLIENT_,10.72.2.196,FirstBank
AGBARA_BTS_,FB_AGBARA_BTS_,10.72.6.4,FirstBank
AGBARA_CLIENT,FB_AGBARA_CLIENT,10.72.6.5,FirstBank
IKOTUN_,FB_IKOTUN_,10.72.6.65,FirstBank
IKOTUN_2,FB_IKOTUN_2,10.72.6.177,FirstBank
OJODU_IBAFO_BTS,FB_OJODU_IBAFO_BTS,10.72.6.186,FirstBank
OJODU_IBAFO_CLIENT,FB_OJODU_IBAFO_CLIENT,10.72.6.187,FirstBank
AJAH_MARKET,FB_AJAH_MARKET,10.73.4.129,FirstBank
IKOTA_MAIN_BTS,FB_IKOTA_MAIN_BTS,10.73.5.4,FirstBank
IKOTA_MAIN_CLIENT_,FB_IKOTA_MAIN_CLIENT_,10.73.5.5,FirstBank
AKOWONJO_BTS,FB_AKOWONJO_BTS,10.100.119.29,FirstBank
AKOWONJO_CLIENT,FB_AKOWONJO_CLIENT,10.100.119.30,FirstBank
IDIMU,FB_IDIMU,10.100.120.1,FirstBank
TOYIN_OLUWU_BTS,FB_TOYIN_OLUWU_BTS,10.100.120.68,FirstBank
TOYIN_OLUWU_CLIENT,FB_TOYIN_OLUWU_CLIENT,10.100.120.69,FirstBank
OKEODO_,FB_OKEODO_,10.100.120.129,FirstBank
NAHCO_,FB_NAHCO_,10.100.120.161,FirstBank
DOPEMU_,FB_DOPEMU_,10.100.120.193,FirstBank
AKUTE_BTS,FB_AKUTE_BTS,10.100.121.2,FirstBank
AKUTE_CLIENT,FB_AKUTE_CLIENT,10.100.121.3,FirstBank
NEW_TRINITY_,FB_NEW_TRINITY_,10.100.121.57,FirstBank
IGANDO_BTS,FB_IGANDO_BTS,10.100.121.68,FirstBank
IGANDO_CLIENT_,FB_IGANDO_CLIENT_,10.100.121.69,FirstBank
IGBESA_,FB_IGBESA_,10.100.121.73,FirstBank
JANKARA_,FB_JANKARA_,10.100.121.89,FirstBank
AYOBO_BTS_,FB_AYOBO_BTS_,10.100.121.107,FirstBank
AYOBO_CLIENT,FB_AYOBO_CLIENT,10.100.121.108,FirstBank
FBN_BACKHAUL_RACK-CENTER,FB_FBN_BACKHAUL_RACK-CENTER,10.100.130.1,FirstBank
FB-HQ_RC,FB_FB-HQ_RC,10.100.130.5,FirstBank
FBN_BACKHAUL_OGOMBO_VI-PE,FB_FBN_BACKHAUL_OGOMBO_VI-PE,10.100.130.97,FirstBank
FBN_BACKHAUL_OGOMBO_EQUINIX,FB_FBN_BACKHAUL_OGOMBO_EQUINIX,10.100.130.98,FirstBank
IGBOBI,FB_IGBOBI,10.105.3.209,FirstBank
PROGRESSIVE_MARKET_,FB_PROGRESSIVE_MARKET_,10.105.4.33,FirstBank
FBN_MD_HSE_INTERNET_,FB_FBN_MD_HSE_INTERNET_,41.138.165.82,FirstBank
FBN_MD_GUEST__HSE_,FB_FBN_MD_GUEST__HSE_,41.138.165.83,FirstBank
EFCC_ACADEMY_ABJ,FB_EFCC_ACADEMY_ABJ,172.28.246.1,FirstBank
MLEE_IKORODU_,FB_MLEE_IKORODU_,172.28.246.25,FirstBank
MOBILE_VAN_HUB118,FB_MOBILE_VAN_HUB118,172.28.246.41,FirstBank
CADBURY_,FB_CADBURY_,172.28.246.49,FirstBank
RADISSON_BLU,FB_RADISSON_BLU,172.28.246.65,FirstBank
FBN_CAPITAL_ATM_,FB_FBN_CAPITAL_ATM_,172.28.246.73,FirstBank
IKOYI_CLUB_,FB_IKOYI_CLUB_,172.28.246.97,FirstBank
PROTEA_,FB_PROTEA_,172.28.246.105,FirstBank
ABUJA_SPDC,FB_ABUJA_SPDC,172.28.246.113,FirstBank
IKOTUN_ASO_ROCK_,FB_IKOTUN_ASO_ROCK_,172.28.246.121,FirstBank
NASFARC_BARRACKS_,FB_NASFARC_BARRACKS_,172.28.246.153,FirstBank
EFCC_HQ_ABJ,FB_EFCC_HQ_ABJ,172.28.246.161,FirstBank
TRANSCORP_BTS,FB_TRANSCORP_BTS,172.28.246.187,FirstBank
TRANSCORP_CLIENT,FB_TRANSCORP_CLIENT,172.28.246.188,FirstBank
LEADWAY-IPONRI,FB_LEADWAY-IPONRI,172.28.246.201,FirstBank
SHELL_ALAUSA_,FB_SHELL_ALAUSA_,172.28.246.217,FirstBank
CITI_BANK_,FB_CITI_BANK_,172.28.246.225,FirstBank
CHEVRON,FB_CHEVRON,172.28.246.233,FirstBank
REGISTRAR_-IGANMU,FB_REGISTRAR_-IGANMU,172.28.246.241,FirstBank
IGANMU_-BREWERY_,FB_IGANMU_-BREWERY_,172.28.246.249,FirstBank
WASIL_VEGETABLE_LAAS,FB_WASIL_VEGETABLE_LAAS,172.28.247.137,FirstBank
