host_name,alias,ip_address,hostgroup
ZENITH_BANK_ASABA_1_BTS,ZENITH_BANK_ASABA_1_BTS,10.35.0.220,ZenithBank
ZENITH_BANK_ASABA_1_CL,ZENITH_BANK_ASABA_1_CL,10.35.0.221,ZenithBank
ZENITH_BANK_OMOLE,ZENITH_BANK_OMOLE,10.35.0.249,ZenithBank
ZENITH_BANK_COLL_RD_OGBA,ZENITH_BANK_COLL_RD_OGBA,10.36.0.217,ZenithBank
ZENITH_PROMASIDOR_ATM,ZENITH_PROMASIDOR_ATM,10.36.0.225,ZenithBank
ZENITH_BANK_PZ_ATM_2_ILUPEJU,ZENITH_BANK_PZ_ATM_2_ILUPEJU,10.37.0.25,ZenithBank
ZENITH_BANK_LASPOTECH_ATM,ZENITH_BANK_LASPOTECH_ATM,10.37.0.81,ZenithBank
ZENITH_CORMART_ATM,ZENITH_CORMART_ATM,10.37.0.97,ZenithBank
ZENITH_BANK_PZ_IKORODU_ATM_2,ZENITH_BANK_PZ_IKORODU_ATM_2,10.37.0.145,ZenithBank
ZENITH_BANK_ANNEX_3,ZENITH_BANK_ANNEX_3,10.37.0.209,ZenithBank
ZENITH_BANK_MURI_OKUNOLA,ZENITH_BANK_MURI_OKUNOLA,10.38.0.1,ZenithBank
ZENITH_BANK_IKEJA_GOLF_CLUB_ATM,ZENITH_BANK_IKEJA_GOLF_CLUB_ATM,10.38.0.9,ZenithBank
ZENITH_BANK_WACOT,ZENITH_BANK_WACOT,10.38.0.17,ZenithBank
ZENITH_BANK_ANNEX_1,ZENITH_BANK_ANNEX_1,10.38.0.25,ZenithBank
ZENITH_BANK_LIGALI,ZENITH_BANK_LIGALI,10.38.0.219,ZenithBank
ZENITH_BANK_AKIN_ADESOLA,ZENITH_BANK_AKIN_ADESOLA,10.39.2.60,ZenithBank
ZENITH_BANK_TRANSCORP_ABUJA,ZENITH_BANK_TRANSCORP_ABUJA,10.40.0.209,ZenithBank
ZENITH_BANK_GANA,ZENITH_BANK_GANA,10.40.0.217,ZenithBank
ZENITH_BANK_COURT_OF_APPEAL,ZENITH_BANK_COURT_OF_APPEAL,10.40.0.235,ZenithBank
ZENITH_BANK_COURT_OF_APPEAL,ZENITH_BANK_COURT_OF_APPEAL,10.40.0.236,ZenithBank
ZENITH_ALGIERS_WUSE,ZENITH_ALGIERS_WUSE,10.40.0.241,ZenithBank
ZENITH_BANK_SULTAN,ZENITH_BANK_SULTAN,10.40.1.41,ZenithBank
ZENITH_UGARKI_ULTRA,ZENITH_UGARKI_ULTRA,10.40.1.57,ZenithBank
ZENITH_BANK_EAGLE_HOUSE,ZENITH_BANK_EAGLE_HOUSE,10.40.1.65,ZenithBank
ZENITH_BANK_EFAB_ABUJA,ZENITH_BANK_EFAB_ABUJA,10.40.1.73,ZenithBank
ZENITH_BANK_DURJUMI,ZENITH_BANK_DURJUMI,10.40.1.81,ZenithBank
ZENITH_CBD_1_ABUJA,ZENITH_CBD_1_ABUJA,10.40.1.91,ZenithBank
ZENITH_BANK_ABATI_BARRACKS,ZENITH_BANK_ABATI_BARRACKS,10.40.1.177,ZenithBank
ZENITH_BANK_ADEMOLA_ADETOKUNBO,ZENITH_BANK_ADEMOLA_ADETOKUNBO,10.40.1.193,ZenithBank
ZENITH_BANK_AMINU_KANO,ZENITH_BANK_AMINU_KANO,10.40.1.201,ZenithBank
ZENIT_KCITY_ABUJA,ZENIT_KCITY_ABUJA,10.40.1.209,ZenithBank
ZENITH_BANK_GARKI_2,ZENITH_BANK_GARKI_2,10.40.1.217,ZenithBank
ZENITH_BANK_JABI,ZENITH_BANK_JABI,10.40.1.233,ZenithBank
ZENITH_BANK_UTAKO_POP_END,ZENITH_BANK_UTAKO_POP_END,10.40.1.243,ZenithBank
ZENITH_BANK_UTAKO_CLIENT_END,ZENITH_BANK_UTAKO_CLIENT_END,10.40.1.244,ZenithBank
ZENITH_BANK_WUSE_4,ZENITH_BANK_WUSE_4,10.40.2.9,ZenithBank
ZENITH_BANK_ORO_AGO,ZENITH_BANK_ORO_AGO,10.40.2.19,ZenithBank
ZENITH_BANK_GWARINPA_1,ZENITH_BANK_GWARINPA_1,10.40.2.27,ZenithBank
ZENITH_BANK_NATIONAL_ASS,ZENITH_BANK_NATIONAL_ASS,10.40.2.33,ZenithBank
ZENITH_BANK_KEBBIHOUSE,ZENITH_BANK_KEBBIHOUSE,10.40.2.41,ZenithBank
ZENITH_BANK_JOHNHOLT_ABJ,ZENITH_BANK_JOHNHOLT_ABJ,10.40.2.49,ZenithBank
ZENITH_BANK_SILVERBIRD,ZENITH_BANK_SILVERBIRD,10.40.2.57,ZenithBank
ZENITH_BANK_ASOKORO,ZENITH_BANK_ASOKORO,10.40.2.65,ZenithBank
ZENITH_MEDICARE_ABJ,ZENITH_MEDICARE_ABJ,10.40.2.73,ZenithBank
ZENITH_BANK_BANEX_WUSE_3,ZENITH_BANK_BANEX_WUSE_3,10.40.2.97,ZenithBank
ZENITH_BANK_GARKI_1_AREA7_OWERRI_STR,ZENITH_BANK_GARKI_1_AREA7_OWERRI_STR,10.40.2.105,ZenithBank
ZENITH_BANK_MARARABA_1,ZENITH_BANK_MARARABA_1,10.40.2.115,ZenithBank
ZENITH_BANK_STATE_HOUSE_ATM,ZENITH_BANK_STATE_HOUSE_ATM,10.40.2.121,ZenithBank
ZENITH_BANK_EUROPEAN_UNION,ZENITH_BANK_EUROPEAN_UNION,10.40.2.137,ZenithBank
ZENITH_SECURITIES_ABJ,ZENITH_SECURITIES_ABJ,10.40.2.169,ZenithBank
ZENITH_BANK_GWARIMPA_2_,ZENITH_BANK_GWARIMPA_2_,10.40.6.99,ZenithBank
ZENITH_BANK_GWARIMPA_2,ZENITH_BANK_GWARIMPA_2,10.40.6.100,ZenithBank
ZENITH_BANK_ECOWAS,ZENITH_BANK_ECOWAS,10.40.8.25,ZenithBank
ZENITH_BANK_NIGERIAN_NAVY,ZENITH_BANK_NIGERIAN_NAVY,10.41.0.73,ZenithBank
ZENITH_BANK_WUSE_MRKT,ZENITH_BANK_WUSE_MRKT,10.41.1.17,ZenithBank
ZENITH_BANK_ENUGU_HOUSE,ZENITH_BANK_ENUGU_HOUSE,10.41.1.161,ZenithBank
ZENITH_BANK_PTI_ROAD_WARRI,ZENITH_BANK_PTI_ROAD_WARRI,10.41.1.249,ZenithBank
ZENITH_BANK_ANNEX_4,ZENITH_BANK_ANNEX_4,10.41.3.193,ZenithBank
ZENITH_BANK_NSUKKA,ZENITH_BANK_NSUKKA,10.41.8.180,ZenithBank
ZENITH_BANK_GATEWAY_MALL_POP,ZENITH_BANK_GATEWAY_MALL_POP,10.41.9.67,ZenithBank
ZENITH_BANK_GATEWAY_MALL_CLIENT,ZENITH_BANK_GATEWAY_MALL_CLIENT,10.41.9.68,ZenithBank
ZENITH_BANK_ALAUSA,ZENITH_BANK_ALAUSA,10.42.0.1,ZenithBank
ZENITH_BANK_IKOYI,ZENITH_BANK_IKOYI,10.42.4.185,ZenithBank
ZENITH_BANK_IKOYI_OPP_EFCC,ZENITH_BANK_IKOYI_OPP_EFCC,10.42.4.185,ZenithBank
ZENITH_BANK_IKOYI_CLUB_ATM,ZENITH_BANK_IKOYI_CLUB_ATM,10.42.4.209,ZenithBank
ZENITH_BANK_MARARABA_2,ZENITH_BANK_MARARABA_2,10.42.6.81,ZenithBank
ZENITH_BANK_MOBIL_KARA_ATM_IKOYI,ZENITH_BANK_MOBIL_KARA_ATM_IKOYI,10.42.6.97,ZenithBank
ZENITH_BANK_NAT_ASS_ATM,ZENITH_BANK_NAT_ASS_ATM,10.42.8.13,ZenithBank
ZENITH_BANK_BLACKBELL_ATM_AJAH,ZENITH_BANK_BLACKBELL_ATM_AJAH,10.42.9.57,ZenithBank
ZENITH_BANK_7UP,ZENITH_BANK_7UP,10.43.0.153,ZenithBank
ZENITH_BANK_OREGUN_ARCHIVE,ZENITH_BANK_OREGUN_ARCHIVE,10.43.7.73,ZenithBank
ZENITH_BANK_ABAKILIKI_2,ZENITH_BANK_ABAKILIKI_2,10.43.12.105,ZenithBank
ZENITH_BANK_ABA_1,ZENITH_BANK_ABA_1,10.46.1.108,ZenithBank
ZENITH_BANK_SOUTHERN_SUN_ATM,ZENITH_BANK_SOUTHERN_SUN_ATM,10.46.4.121,ZenithBank
ZENITH_BANK_MOBOLAJI_BANK_ANTHONY,ZENITH_BANK_MOBOLAJI_BANK_ANTHONY,10.46.4.185,ZenithBank
ZENITH_BANK_PPMC_WARRI,ZENITH_BANK_PPMC_WARRI,10.46.4.203,ZenithBank
ZENITH_BANK_AKINTOLA,ZENITH_BANK_AKINTOLA,10.46.8.137,ZenithBank
ZENITH_BANK_ANTAN_ATM_ADDAX,ZENITH_BANK_ANTAN_ATM_ADDAX,10.48.4.17,ZenithBank
ZENITH_BANK_BADORE_AJAH,ZENITH_BANK_BADORE_AJAH,10.72.10.41,ZenithBank
ZENITH_BANK__HUTOOS_IJU,ZENITH_BANK__HUTOOS_IJU,10.105.3.9,ZenithBank
ZENITH_BANK_ODEKU_2,ZENITH_BANK_ODEKU_2,10.105.3.35,ZenithBank
ZENITH_BANK_ITIRE,ZENITH_BANK_ITIRE,10.105.3.43,ZenithBank
ZENITH_BANK_IGBUDU_MKT_WARRI_POP,ZENITH_BANK_IGBUDU_MKT_WARRI_POP,10.105.3.51,ZenithBank
ZENITH_BANK_IGBUDU_MKT_WARRI_CE,ZENITH_BANK_IGBUDU_MKT_WARRI_CE,10.105.3.52,ZenithBank
ZENITH_BANK_REFINERY_WARRI,ZENITH_BANK_REFINERY_WARRI,10.105.3.76,ZenithBank
ZENITH_BANK_AIR_FINANCE,ZENITH_BANK_AIR_FINANCE,10.105.3.201,ZenithBank
ZENITH_BANK_ADMINRALTY_BTS,ZENITH_BANK_ADMINRALTY_BTS,10.105.3.219,ZenithBank
ZENITH_BANK_ADMINRALTY_CL,ZENITH_BANK_ADMINRALTY_CL,10.105.3.220,ZenithBank
ZENITH_BANK_BAZE_UNI,ZENITH_BANK_BAZE_UNI,10.105.4.50,ZenithBank
ZENITH_BANK_TRAINING_C,ZENITH_BANK_TRAINING_C,41.138.165.134,ZenithBank
